key,type,enabled,sort_order,eyebrow,title_html,subtitle_html,body_html,cta_text,cta_link,secondary_cta_text,secondary_cta_link,image_url,image_alt,image_link,product_handles,faqs_json,seen_in_json,items_json
hero,hero,TRUE,10,,"The <span class=""text-white"">Equestrian</span>","Australian Owned <span class=""text-primary mx-2"">|</span>Global Brands",,Shop Now,/horse,View Great Deals,/on-sale,/hero-trolle.png,Trolle luxury equestrian apparel,,,,,"[{""media_type"":""image"",""src"":""/hero-trolle.png"",""alt"":""Trolle"",""cta_link"":""/brands/trolle""},{""media_type"":""image"",""src"":""/hero-acavallo.png"",""alt"":""Acavallo"",""cta_link"":""/brands/acavallo""},{""media_type"":""image"",""src"":""/hero-samshield.png"",""alt"":""Samshield"",""cta_link"":""/brands/samshield""},{""media_type"":""video"",""src"":""/hero-samshield.mp4"",""poster"":""/hero-samshield.png"",""alt"":""Samshield"",""cta_link"":""/brands/samshield""},{""media_type"":""image"",""src"":""/hero-equipe.png"",""alt"":""Equipe"",""cta_link"":""/brands/equipe""}]"
trust_signals,trust_signals,TRUE,20,,,,,,,,,,,,,,
trolle_carousel,most_wanted_carousel,TRUE,25,Trolle,Shop Trolle Breeches & Riding Apparel,,"Competition polos, breeches, riding jackets and knitwear from the Danish Trolle Projects range — designed for training and competition.",,,,,,,,"trolle-ladies-mat-high-speed-comp-shirt,trolle-cool-dots-ultra-riding-jacket-ladies,trolle-cashmere-wool-star-logo-sweater,trolle-aero-competition-polo-ladies,trolle-athletic-high-waist-breeches-full-grip,trolle-aero-perforated-riding-jacket-ladies,trolle-tech-half-zip-merino-jumper,trolle-centre-line-mesh-competition-polo-ladies",,
most_wanted_carousel,most_wanted_carousel,TRUE,30,Most Wanted,"Shop over 10,000 products  - Best sellers",,"Curated gear that riders reach for first — high performance, great reviews, and premium brands.",,,,,,,,"shanga-mesh-combo,shanga-towel-rug,ezy-groomer-purple,trust-pony-eggbutt-eliptical,eureka-mini-canvas-rug,cavalor-equicare-bianco-wash,riding-tights-in-beige-sizes-6-to-28,collar-check-rug-hood-and-tail-bag-set",,
most_wanted_grid,most_wanted_grid,TRUE,40,Shop our most wanted,Rider favorites,,,,,,,,,,"the-equestrian-cap-learn-how-to-get-it-for-free,animo-ss20-mael-mens-breeches,cavalleria-toscana-all-over-embroidery-saddle-pad-dressage,ca-coolite-rug,carbine-gastrazone-1-25litre,diy-kit-for-stainless-steel-30mm-locket-rose-gold,breyer-traditional-doll-cowboy-austin,sprenger-ultra-fit-grip-spur-comfort-roller",,
samshield_carousel,most_wanted_carousel,TRUE,45,Samshield,Shop Samshield Helmets & Riding Wear,,"Premium riding helmets, competition jackets, breeches and training wear from the French Samshield range.",,,,,,,,"samshield-miss-glossy-2-0-flower-jewellery,samshield-miss-glossy-2-0-celestial-crystal,samshield-davos-puffer-jacket-ss26,samshield-bella-crystal-ferna-training-top-ss26,samshield-marina-competition-shirt-ss26,samshield-corentin-mens-comp-shirt-ss26,samshield-miss-shield-2-0-alcantara-top-celestial-crystal,samshield-victorina-competition-jacket-ss26",,
best_deals_slider,best_deals_slider,TRUE,50,,Our Featured Collections,,"With 10,000 + products from the worlds greatest brands, we have what you need!",,,,,,,,"horse,rider,clothing/womens,pet,accessories",,
signup,signup,TRUE,60,Daily & Weekly Offers,Join Our Excluse Deals Club,,"Join the community for curated drops, early access to new collections, and insider pricing.",Sign up,#,,,,,,,,
recent_articles,recent_articles,TRUE,70,,,,,,,,,,,,,,
faqs,faqs,TRUE,80,FAQs,Questions we answer most often,,,,,,,,,,,"[
  {
    ""question"": ""What type of equestrian products does The Equestrian specialize in?"",
    ""answer"": ""The Equestrian offers a curated selection of premium riding apparel, horse tack, grooming supplies, and accessories. We cater to both competitive riders (Dressage, Show Jumping, Eventing) and leisure riders across Australia looking for high-quality gear.""
  },
  {
    ""question"": ""How do I choose the correct size for riding breeches and boots?"",
    ""answer"": ""We recommend consulting the specific Size Guide located on in our size guide page. Since equestrian sizing can vary between brands (such as European vs. Australian sizing), we provide detailed measurements to ensure the perfect fit for safety and comfort in the saddle.""
  },
  {
    ""question"": ""What is The Equestrian's return policy on horse tack and apparel?"",
    ""answer"": ""We accept returns on items that are clean, unused, and in their original packaging within 30 days of purchase. For safety reasons, certain items like helmets or horse bits may have specific restrictions. Please see our full Returns Policy page for details.""
  },
  {
    ""question"": ""Do you offer free shipping on equestrian gear orders in Australia?"",
    ""answer"": ""Yes, we offer free standard shipping on qualifying orders within Australia. We ensure all packages, especially saddles and leather goods, are packed securely to arrive in pristine condition.""
  },
  {
    ""question"": ""How should I care for my leather tack to ensure it lasts?"",
    ""answer"": ""To maintain the longevity of your bridles and saddles, we recommend cleaning them after every ride with a glycerin soap and conditioning them regularly with a high-quality leather balsam. Store your leather in a cool, dry tack room away from Australian heat and humidity.""
  }
]",
rich_text_gear,rich_text,TRUE,85,,Horse Riding Gear and Tack for Every Discipline,,"<p>Whether you ride dressage, showjumping, eventing, or trail, selecting the right horse riding gear directly affects your comfort in the saddle and your horse's performance underneath it. At The Equestrian, we stock over 10,000 products from trusted Australian and international brands, covering everything a horse and rider need for training and competition across all disciplines.</p><p>A well-fitted <a href=""https://www.theequestrian.com.au/horse/saddles"">saddle</a> is the foundation of every ride. Paired with the correct <a href=""https://www.theequestrian.com.au/horse/tack/bridles"">bridle</a> and <a href=""https://www.theequestrian.com.au/horse/bits"">horse bit</a>, riders establish clear communication and control without compromising their horse's comfort. For riders who prefer bitless options, our range of bitless bridles offers gentle alternatives suited to sensitive horses and young horses in training. We also carry a full selection of <a href=""https://www.theequestrian.com.au/horse/tack/girths"">girths</a>, <a href=""https://www.theequestrian.com.au/horse/tack/breastplates"">breastplates and martingales</a>, <a href=""https://www.theequestrian.com.au/horse/tack/reins"">reins</a>, and <a href=""https://www.theequestrian.com.au/horse/tack/stirrup-irons"">stirrups</a> from brands such as PS of Sweden, Equipe, and Prestige.</p><p>Protecting your horse during work is equally important. Our <a href=""https://www.theequestrian.com.au/horse/boots"">horse boots</a> collection includes <a href=""https://www.theequestrian.com.au/horse/boots/jumping"">jumping boots</a>, <a href=""https://www.theequestrian.com.au/horse/boots/tendon"">tendon boots</a>, bell boots, and <a href=""https://www.theequestrian.com.au/horse/boots/float"">float boots</a> from Veredus, Woof Wear, and Cryochaps. Combined with quality <a href=""https://www.theequestrian.com.au/horse/pads"">saddle pads</a> from Kentucky Horsewear and PS of Sweden, you can ensure proper shock absorption and back protection for every session.</p>",,,,,,,,,,
rich_text_clothing,rich_text,TRUE,86,,Riding Clothes and Footwear for Australian Conditions,,"<p>Choosing the right <a href=""https://www.theequestrian.com.au/clothing"">riding clothes</a> means balancing comfort, safety, and the specific demands of Australian conditions - hot summers, cold mornings, and everything between. Our rider apparel collection is built around practical performance fabrics that wick moisture, stretch with your movement, and hold up to daily stable work.</p><p>For everyday riding, lightweight <a href=""https://www.theequestrian.com.au/clothing/womens/tights"">riding tights</a> and <a href=""https://www.theequestrian.com.au/clothing/womens/breeches"">breeches</a> are the most popular choices among our customers. In the competition ring, correct presentation matters - our range of <a href=""https://www.theequestrian.com.au/clothing/outerwear/jackets"">competition jackets</a> and <a href=""https://www.theequestrian.com.au/clothing/tops/shirts"">show shirts</a> helps riders meet dress standards for dressage, showjumping, and showing events across Australia. We also carry a full <a href=""https://www.theequestrian.com.au/clothing/kids"">kids clothing</a> range including <a href=""https://www.theequestrian.com.au/clothing/kids/breeches"">kids breeches</a> for young riders.</p><p>Footwear is where comfort and safety intersect. A quality pair of <a href=""https://www.theequestrian.com.au/clothing/footwear"">riding boots</a> with a defined heel and supportive sole gives you stability in the stirrup and grip on the ground. We carry <a href=""https://www.theequestrian.com.au/clothing/footwear/womens"">women's riding boots</a>, men's boots, and children's options from Ariat, Tucci, and other trusted brands - whether you need paddock boots for daily wear, tall boots for competition, or durable work boots for long hours around the stable.</p>",,,,,,,,,,
rich_text_health,rich_text,TRUE,87,,"Horse Health, Nutrition, and Stable Essentials",,"<p>Keeping your horse healthy starts with consistent daily care. The Equestrian stocks a comprehensive range of <a href=""https://www.theequestrian.com.au/horse/supplements"">horse supplements</a> to support joint health, gut function, coat condition, and recovery after hard work. From electrolytes for hydration during hot Australian summers to calming supplements for horses in new environments, we carry products that address the specific health challenges faced by horses in Australian conditions.</p><p>Routine <a href=""https://www.theequestrian.com.au/horse/stable/hoof-care"">hoof care</a> and a reliable <a href=""https://www.theequestrian.com.au/horse/stable/wormers"">worming program</a> are two areas where consistent attention prevents larger problems. We also carry <a href=""https://www.theequestrian.com.au/horse/stable/feed"">horse feed</a> options and <a href=""https://www.theequestrian.com.au/horse/stable/fly-repellant"">fly repellent</a> products to support horses through every season. For stable comfort and enrichment, our <a href=""https://www.theequestrian.com.au/horse/stable/treats"">horse treats and toys</a> keep horses content and mentally stimulated during downtime. Everything you need for daily <a href=""https://www.theequestrian.com.au/horse/stable"">stable management</a> - from hay nets and feed bins to leather care - is available with free shipping across Australia.</p><p>Seasonal protection is another consideration for Australian horse owners. Our <a href=""https://www.theequestrian.com.au/horse/rugs"">horse rugs</a> collection covers <a href=""https://www.theequestrian.com.au/horse/rugs/winter"">winter rugs</a>, <a href=""https://www.theequestrian.com.au/horse/rugs/summer"">summer rugs</a>, rain sheets, and travel rugs, so your horse stays comfortable in paddock and stable all year round.</p>",,,,,,,,,,
rich_text_brands,rich_text,TRUE,88,,Premium Equestrian Brands Trusted by Australian Riders,,"<p>The quality of your horse and rider equipment is determined by the brands behind it. The Equestrian partners with over 50 leading equestrian brands from Australia and around the world, giving riders access to the same gear used by professional competitors and trusted by everyday riders across the country.</p><p><a href=""https://www.theequestrian.com.au/brands/kentucky"">Kentucky Horsewear</a> is one of our most sought-after brands for saddle pads, horse boots, and stable accessories, known for their quality materials and functional design. For tack, <a href=""https://www.theequestrian.com.au/brands/equipe"">Equipe</a> and <a href=""https://www.theequestrian.com.au/brands/prestige"">Prestige</a> deliver Italian-crafted saddles and bridles built for performance across dressage, showjumping, and eventing. <a href=""https://www.theequestrian.com.au/brands/ps-of-sweden"">PS of Sweden</a> bridles have become a favourite among competitive riders for their ergonomic design and attention to horse comfort, while <a href=""https://www.theequestrian.com.au/brands/ariat"">Ariat</a> remains the go-to brand for riding boots, jeans, and casual equestrian footwear. <a href=""https://www.theequestrian.com.au/brands/cavalleria-toscana"">Cavalleria Toscana</a> offers premium European rider apparel for those who value style alongside function, and <a href=""https://www.theequestrian.com.au/brands/bare-equestrian"">BARE Equestrian</a> is an Australian favourite for riding tights and training wear.</p><p>We ship every order with free delivery across Australia, and our team of experienced equestrians is available to help you find the right product for your horse and your discipline.</p>",,,,,,,,,,
seen_in,seen_in,FALSE,90,As seen in,Trusted by the industries you admire,,,,,,,,,,,,"[""Trustpilot"",""Glassdoor"",""Medium"",""Vogue"",""CNBC""]"
